@relation tweet_sentiment
@attribute 'Sentiment' {positive,negative}
@attribute 'tweet' string
@data
positive,'VirginAmerica ladygaga carrieunderwood  love all three but you really cant beat the classics'
negative,'VirginAmerica heyyyy guyyyys been trying to get through for an hour can someone call me please '
negative,'VirginAmerica Hi Virgin Im on hold for 4050 minutes  are there any earlier flights from LA to NYC tonight'
negative,'VirginAmerica everything was fine until you lost my bag'
negative,'VirginAmerica your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors httptcohy0VrfhjHt'
positive,'VirginAmerica not worried its been a great ride in a new plane with great crew All airlines should be like this'
positive,'VirginAmerica awesome I flew yall Sat morning Any way we can correct my bill '
negative,'VirginAmerica what is going on with customer service Is there anyway to speak to a human asap Thank you'
negative,'VirginAmerica why cant you supp the biz traveler like SouthwestAir  and have customer service like JetBlue neverflyvirginforbusiness'
positive,'VirginAmerica Ive applied more then once to be a member of the inflight crew teamIm 100 interested flightattendant dreampath G'
negative,'VirginAmerica I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness'
negative,'VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin'
negative,'VirginAmerica Im having trouble adding this flight my wife booked to my Elevate account Help httptcopX8hQOKS3R'
negative,'VirginAmerica Why is the site down  When will it be back up'
negative,'VirginAmerica I like the TV and interesting video  Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday '
negative,'VirginAmerica just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin'
negative,'VirginAmerica Is it me or is your website down  BTW your new website isnt a great user experience  Time for another redesign'
negative,'VirginAmerica I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile httptcoAvyqdMpi1Y'
negative,'VirginAmerica  Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable'
negative,'virginamerica What is your phone number I cant find who to call about a flight reservation'
negative,'VirginAmerica is anyone doing anything there today  Website is useless and no one is answering the phone'
negative,'VirginAmerica why must a traveler miss a flight to Late Flight check a bag  I missed my morning appointments and you lost my business sfo2lax'
negative,'VirginAmerica your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp'
positive,'VirginAmerica  amazing customer  service again  love  love  RaeAnn in SF  shes the best customerservice virginamerica flying'
negative,'VirginAmerica called your service line and was hung up on This is awesome sarcasm'
negative,'VirginAmerica your site is tripping Im trying to check in and Im getting the plain text version I am reluctant to enter any card info'
negative,'VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop'
positive,'VirginAmerica is the best airline I have flown onEasy to change your reservationhelpful representatives amp'
positive,'VirginAmerica and again Another rep kicked butt Naelah represents your team so beautifully Thank you'
positive,'VirginAmerica your beautiful frontend design is down right now'
positive,'VirginAmerica Love the team running Gate E9 at LAS tonight Waited for a delayed flight and they kept things entertaining'
negative,'VirginAmerica And now the flight Flight Booking Problems site is totally down Folks what is the problem'
negative,'VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long VA370'
positive,'VirginAmerica thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight'
positive,'VirginAmerica you have the absolute best team and customer service ever  Every time I fly with you Im delighted  Thank you'
positive,'VirginAmerica completely awesome experience last month BOSLAS nonstop Thanks for such an awesome flight and depart time VAbeatsJblue'
negative,'VirginAmerica you are failing your customers because your check in process does not link to TSA precheck'
negative,'VirginAmerica FiDiFamilies us too Terrible airline Just gave us a hotel hotline number and said sorry'
negative,'VirginAmerica ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you'
negative,'VirginAmerica Another delayed flight likingyoulessandless'
negative,'VirginAmerica I need to register a service dog for a first class ticket from SFO gt'
positive,'virginamerica you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars2015'
negative,'VirginAmerica why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated'
positive,'VirginAmerica best customer service rep in the world irmafromDallas takes the cake'
positive,'VirginAmerica you have amazing staff amp'
negative,'VirginAmerica I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face '
positive,'Always have it together Youre welcome RT VirginAmerica jessicajaymes Youre so welcome'
positive,'virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcoVX9vBCTdLf'
negative,'VirginAmerica I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy'
negative,'VirginAmerica does that mean you dont have a policy for destroyed luggage'
positive,'VirginAmerica thank you for checking in tickets are purchased and customer is happy '
negative,'VirginAmerica having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait'
negative,'VirginAmerica I rang but there is a wait for 35 minutes I can book the same ticket through a vendor fix your site'
negative,'VirginAmerica got a flight we were told for 450 todaychecked my email and its for 4'
negative,'VirginAmerica our flight into lga was Cancelled Flighted Were stuck in Dallas I called to reschedule told I could get a flight for today12'
negative,'virginamerica why dont any of the pairings include red wine Only white is offered  redwineisbetter'
negative,'VirginAmerica Im disappointed that the agent at the designated silver status check in line Dulles_Airport closed to assist all pasengers'
negative,'VirginAmerica Is it normal to receive no reply from Central Baggage baggageissues smh'
negative,'VirginAmerica at Logan airport and waiting to checkin for my 9am flight Checkin desk not open  Why'
negative,'VirginAmerica congrats you just got all my business from EWR to SFOLAX Fuck you united fl1289 SFOEWR was the clincher'
negative,'VirginAmerica  I applied over 2 weeks ago Havent heard back and Im flying this week disappointed'
positive,'VirginAmerica Thank you for the follow'
negative,'VirginAmerica  too many apologies You r the worse airlines Dont even respond to your cudtomers'
negative,'VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK Who will reimburse me'
negative,'VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email When I inquired after 3 weeks you claim 6 to 8 weeks'
positive,'VirginAmerica Only way to fly Elevate Gold'
negative,'VirginAmerica a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever'
negative,'VirginAmerica  for all my flight stuff wrong and did nothing about it Had worst flight ever'
negative,'VirginAmerica trying to book a flight with you guys and your website wont let me about to lose my business'
negative,'VirginAmerica you suck'
positive,'VirginAmerica thanks'
negative,'VirginAmerica Just DMd Same issue persisting'
negative,'VirginAmerica Because we never recd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids'
negative,'VirginAmerica trying to book a flight amp'
negative,'VirginAmerica you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed  expected better'
positive,'VirginAmerica I love your guys song Were dancing to it for our high school dance revue'
negative,'VirginAmerica Your website is down and Im trying to check in'
positive,'VirginAmerica done Thank you for the quick response apparently faster than sitting on hold '
positive,'VirginAmerica cool picture of another VirginAmerica plane off our wing What a site httptco5B2agFd8c4'
positive,'VirginAmerica Keep up the great work '
positive,'VirginAmerica my goodness your people love field are amazing under pressure lovefrom Texas beatstheothers in crisis Please fly me to NY'
positive,'VirginAmerica Thanks so much for the awesome support you guys rock'
negative,'VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink'
negative,'VirginAmerica You guys charged me 100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it Whats the deal'
negative,'VirginAmerica cant access your website from Safari on iPhone 6 Seems to work on Mac and iPad Need iPhone to add Passbook'
negative,'VirginAmerica why Cancelled Flight flight VX413 One sec its delayed on my to airport the next its Cancelled FlightledGonna email or call me to reschedule'
negative,'VirginAmerica I did it but there was a problem in the link from the email for checkin thanks'
negative,'VirginAmerica had to change to another airline to get to DC today  Why is united able to land in DC but not you Cost me 800 ugh'
negative,'VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one '
positive,'VirginAmerica wish I can afford to fly with you next Friday  going back home love everything  about your airline'
negative,'VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas sad'
negative,'VirginAmerica hold times at call center are a bit much'
positive,'VirginAmerica You have the best flight attendant ever httptcoPxdEL1nq3l'
positive,'VirginAmerica thanks so much'
positive,'VirginAmerica Very nicely done clapback'
positive,'VirginAmerica hahaha VirginAmerica YOU GUYS ARE AMAZING I LOVE YOU GUYS'
positive,'VirginAmerica sounds like fun '
negative,'VirginAmerica the CSS on your site is a 404 right now please fix Site unusable'
positive,'VirginAmerica Thanks for your great customer service today amp'
positive,'VirginAmerica thanks guys Sweet route over the Rockies airplanemodewason'
positive,'VirginAmerica love the 90s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee'
negative,'VirginAmerica current bug on website shows select departure city when selecting destination city httptcoSLLYIBE2vQ'
negative,'VirginAmerica luggage was severely dentedmissing wheel coming off baggage claim in SAN Luggage agent Miranda I think wasnt any help'
positive,'VirginAmerica thank you for the easy itinerary shift for impending weather Quick painless amp'
positive,'VirginAmerica Thanks Good times there and back Vodkatonics the entire flight cheers sfo'
positive,'VirginAmerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience Thank you Keep it up'
negative,'VirginAmerica requested window seat and confirmed window but got stuck in middle seat Not a good way to treat silver member'
negative,'VirginAmerica there is something wrong with you website in Safari iPhone'
positive,'VirginAmerica thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet'
negative,'VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place'
positive,'VirginAmerica your inflight team makes the experience amazing'
positive,'VirginAmerica cutest salt and pepper shaker ever Just when I think you guys cant get any better you just do httptcovC6Keulg2J'
negative,'VirginAmerica moved my seat with no notice Better seat is cabin select not behind the row I selected thumbs down  DISAPPOINTED'
positive,'VirginAmerica fav airline'
negative,'VirginAmerica already contacted Central Baggage amp'
positive,'VirginAmerica Thank you'
negative,'VirginAmerica VirginAtlantic I have just checked in flight to SFO from LAX amp'
negative,'VirginAmerica husband and I ordered three drinks via my screen and they never came Awesome'
negative,'VirginAmerica soooo are you guys going to leave the seatbelt light on all flight You can barely call this turbulence '
negative,'VirginAmerica Funny story your website is broken you have missing javascript and stylesheets on the checkin process I dislike this'
positive,'VirginAmerica would love to do more for virgin just like I do for GoPro'
negative,'VirginAmerica Im trying to check into my 1050AM CT flight tmm on the desktop website and its not working some sort of caching bug SOS'
negative,'VirginAmerica Do you guys know your checkin links from emails are broken httptco2npXB6oBMr'
positive,'VirginAmerica loved it Cant wait for Mondays return flight Mostly just to watch the inflight safety video again sorrynotsorry'
negative,'VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD amp'
positive,'VirginAmerica Hi Just wanted to see if you have any new routes planned this year for Newark Love flying you guys and hope to do so more'
positive,'VirginAmerica They were very understanding and helped me out  Thx Comps'
positive,'VirginAmerica thank you I absolutely will  cool '
negative,'virginamerica Looks like a broken link for your assets httpstcoOArDjjGrrD'
negative,'virginamerica the manage itinerary section of your website seems to be broken for me httpstco2pUJvCElNg'
negative,'VirginAmerica cant check in your site looks like this every time it loads httptcokAcY2AwDbW'
negative,'virginAmerica Other carriers are less than half price for a round trip fare I am stunned httptcoUKdjjijroW'
negative,'VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is 550'
positive,'VirginAmerica SSal thanks'
negative,'VirginAmerica my luggage is gone Ive filed my paperwork promised a callemail Still no resolution or response from central luggage'
positive,'VirginAmerica thanks for taking care of SuuperG on her flight rockstars travel'
positive,'VirginAmerica Thanks for the lovely soft views travel SAN to SFO httptcoCnctL7G1ef'
negative,'VirginAmerica I requested a mileage challenge for status several weeks ago online but havent heard back How do I get help with this'
negative,'VirginAmerica Applied for Status Match on Feb 1 Got confirmation email same day Still no news though You guys have dropped ball Late Flightly '
positive,'VirginAmerica I adore you and am so looking forward to my flight to Austin in two weeks'
positive,'VirginAmerica first time flying Virgin went to SanFrancisco Thanks for the smooth ride Easily my new fav airline'
negative,'virginamerica not really the experience I was hoping 4 I ws forced 2 check in a small carry on w nothing but empty cabin space on board'
negative,'VirginAmerica I spoke with a representative that offered no solution I am a loyal customer who flies on VirginAtlantic as well'
negative,'VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email'
positive,'VirginAmerica just promoting the product is all had a problem with southwest and recommend noneother than the best httptcotFaNXBh1Cf'
positive,'VirginAmerica love you guys but pls get some direct routes LAS to AUS'
positive,'VirginAmerica of course I work for VirginAtlantic and Im obsessed with the entire Virgin family'
negative,'VirginAmerica on VX399 from JFK to LA  dirty plane  not up to your standards'
negative,'VirginAmerica on flight VX399 headed to LA from JFK  dirtiest VA plane I have ever been on Sad for a great airline'
negative,'VirginAmerica your Avis rental continue button doesnt work on your website to book car Tried 4 times on phone  This sucks'
negative,'VirginAmerica delayed to1030'
negative,'VirginAmerica currently in minute 10 of being on hold with cust service Do I need to do anything to add a lap child to my reservation'
negative,'VirginAmerica Comenity Bank is a joke  Please change  Nothing but constant problems with this bank'
positive,'VirginAmerica Just bought tix for ATX  Dallas route  thanks for adding that Love yr airline amp'
positive,'VirginAmerica gave a credit for my Late Flight flight yesterday Great service  Thats a Wow moment Unexpected gesture'
negative,'VirginAmerica I submitted a status match request a while back and still havent heard Im flying on Monday Can you look  accelerate'
positive,'VirginAmerica had me at their safety video    httptcoCqMm7nuE9m  LOVED my first cross country flight livewelltraveled sytycd'
positive,'VirginAmerica Your planes are really pretty Just thought u should know that '
positive,'VirginAmerica thank you'
positive,'VirginAmerica good to be home texas moodlighting httptcoN3BVZTY3zI'
negative,'VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this   Let me out of here'
negative,'VirginAmerica I am in seat 4C and I cannot even open my laptop'
positive,'VirginAmerica thanks for that Been needing a way to make those Austin trips from DCA and now youve come through'
positive,'VirginAmerica this is too cool  Never been on ur planes but now I will'
positive,'VirginAmerica great Well deserved'
negative,'VirginAmerica Status match  2 weeks have gone by and no newsFlt next week  hope flt will count towards requirement  Cust Svc no help'
positive,'VirginAmerica got it All set  Thanks'
positive,'VirginAmerica Giants and Virgin America A match made in heaven'
positive,'VirginAmerica thank goodness Also see you friday nwkgt'
negative,'VirginAmerica how come you dont have an iPhone app Still using and making me waste paper'
negative,'VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname apostrophefail'
positive,'VirginAmerica I luv ur people and product 1 thing is y do u charge for herbal tea but not black tea Im not a caffeine drinker'
positive,'VirginAmerica thank you See yall soon Im excited to see the expansion of destinations Spread those wings'
positive,'VirginAmerica has the most INCREDIBLE customer service Ive ever experienced So refreshing'
negative,'VirginAmerica kinda sucked my earphone jack didnt work on my flight They may want to look into that for future passengers'
negative,'VirginAmerica Very poor experience First computer problem now seat malfunction Stuck Missing meeting in San Diego'
positive,'VirginAmerica thankyou the DALAUS route makes my day'
positive,'virginamerica awesome deals DALAUS for only 39 each way httpstcoxCVQXYkg49'
positive,'VirginAmerica  is flying from Love to Austin now That is most excellent news'
positive,'VirginAmerica Congrats VX on the new route'
negative,'VirginAmerica I tried that You offered to charge me an additional 1k for a new ticket or be stranded until Thurs 1st time last time'
negative,'VirginAmerica Never had a bad experience before but this one took the cake Now extortion for carry on items as well'
negative,'VirginAmerica Had to spend 5 hours worrying that items in carryon would be brokenstolen since I couldnt carry them on plane or lock bag'
negative,'VirginAmerica All of group E was told there was no more room in the bins when I got on the plane was room for at least 4 bags in my row'
negative,'VirginAmerica I have lots of flights to book and your site it not working Ive been on the phone waiting for over 10 minutes'
negative,'VirginAmerica Why is it taking 12 years to fly home to Dallas Get your shit together'
positive,'Nice RT VirginAmerica The man of steel might be faster but we have WiFi  just saying ScienceBehindTheExperience httptcoFGRbpAZSiX'
positive,'VirginAmerica I love the dancing little richard cool beans'
positive,'VirginAmerica thanks for the free birthday points yall are ALL RIGHT with me'
negative,'VirginAmerica Man of steel flies to more cities thoughand with more frequency too'
positive,'VirginAmerica thanks so much for sharing Just added it to my site httptcoTsviBTvT8h'
positive,'VirginAmerica Dad on Segway is the best part of this whole infographic'
positive,'VirginAmerica Are there any plans for a short haul airline in Europe Would defiantly fly with you guys '
positive,'VirginAmerica wifi AND better seating'
negative,'VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me'
negative,'VirginAmerica While other airlines werent Cancelled Flighting flights into BOS and helping their customers get home Virgin was saying Good luck'
negative,'VirginAmerica Grouping Virgin in with the others now BOS weather has exposed their actual Cus Serv model Never Flight Booking Problems with Virgin again'
negative,'VirginAmerica As one of the travelers affected by the Boston storm Im shocked at Virgins complete apathy toward their customers'
positive,'VirginAmerica you guys are perfect as always lt'
positive,'VirginAmerica thanks Yall have some of the best customer service left in the industry'
positive,'VirginAmerica really wish youd fly out of Fargo fargoairport those fares are amazings'
negative,'VirginAmerica my group got their Cancelled Flightlation fees waived but I cant because my ticket is booked for 218 Your reps were no help either  bad '
positive,'VirginAmerica just got on the 1pm in Newark home to LA Your folks at EWR are incredible letsgohome'
positive,'VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul'
positive,'united thanks'
positive,'united Thanks for taking care of that MR Happy customer'
negative,'united still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip'
negative,'united Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united'
positive,'united Thanks It is on the same ticket'
negative,'united is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade'
negative,'united CheerTymeDad So I can buy tix 3 days before flight but cant transfer the tix  Flawed security logic Flawed customer service'
negative,'united if the car seat is lost united should just reimburse me for a new one this is not a pair of shoes its a necessity for my child'
positive,'united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase Let her know she wasappreciated'
negative,'united beginning of Feb I called United they said they would send another voucher by mail Never got anything tiredofwaiting'
negative,'United the internet is a great thing  I am emailing executives in your company maybe they will respond to me in a timely manner'
negative,'united thats weak See ya'
negative,'united I flew back w other company since United didnt have an earlier flight'
negative,'united I am trying to book awards for September and need flights on aegeanairlines but they will not show even w many award seats availab'
negative,'united I sure did   I had to drive a total of 3 hours to get my own bag  Id like to explain that debacle but no one wants to talk to me'
negative,'united See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr  After we boarded there was a defibrillator issue'
negative,'united why no preferred security line anymore My TSA precheck didnt pull on my SilverAirways partner flight Platinum spoiled'
negative,'united How does United refuse to reissue a 400 lost voucher when their plane didnt take off due to mechanics badcustomerservice'
negative,'united yes weve been with the agents for the last 50 minutes One of the agents have been very rude but thankfully Ladan has been nice'
negative,'united iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer'
negative,'united UCtraveladvisor  I would have loved to respond to your website until I saw the really long form In business the new seats are bad'
negative,'united A refund and flight vouchers or another flight on a different airline at your expense for today 8 hour drive is very inconvenient'
negative,'united then why have I not received my call back its been 3 daysits an infant car seat how am I supposed to go anywhere with my child'
negative,'United well sitting on the ground on time but waiting for a gateagain tiredofthis'
positive,'united Airport snow removal method 22'
negative,'united No I need you guys to not over book planes Its not a concern Ill just travel with someone else moving forward'
negative,'united A measly 50 ecertificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116 unacceptable'
positive,'united Thank you for that Am I able to claim any interim expenses or is the cost of the stuff up on me'
negative,'united rude rude'
negative,'united  Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a 6 hour layover amp'
negative,'united just flew to TelAviv paid 100 from a third suitcase which didnt even make it on the plane Besides for the impolite service'
negative,'United  My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome'
negative,'united Shame that theres no flex to tickets transfer rules  Even calling from Neurosurgery ICU isnt enough'
negative,'united No Denver said they dont handle baggage that made it to Colo Springs  They gave me an 800 number to call No help there either'
negative,'united you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes'
negative,'united once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor'
negative,'united ZCC82U Cancelled Flight flight 16h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me'
negative,'united I will not be flying you again'
negative,'united in addition my first flight was delayed an hour and Im arriving at my destination 8 hrs Late Flight'
negative,'united v upset with your disability  services When I told one of your employees I was carrying medical equipment she was very rude'
negative,'united thnx for quick reply but dont think you can assist Our intl grp will be put to considerable inconvenience today'
negative,'united wont transfer flight ticket to accompany an 11 yr old whos active military mom had to have emergency brain surgery WOW'
negative,'united getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card 150 STARBUCKS CARD I HANDED OVER'
negative,'united not yet I complained about the guy who checked my luggage in as he was throwing the bags around Unfortunate coincidence I hope'
negative,'united OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help'
negative,'united another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come'
negative,'united I just sent an email to Customer Care telling them I may have to break up with you  unamused  I sincerely hope they can help me'
negative,'united silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk'
negative,'united well you cant fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it'
negative,'united why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did'
positive,'united for the record Rozana at Newark was lovely and helpful choosekind'
negative,'united whats the point of asking for details about a servicedog when you book if your flight crew doesnt read them Continued'
negative,'united I tried but no one was available in bogota and everyone was rude in Houston I was stuck for 35 hours because of you guys'
negative,'united worst2unitedflightsever UA 236 LAS to IAD 224 mechanical problems again  took off  had to land for fix  delayed again wtfodds'
positive,'united despite my bag not making it to Newark good informative email tracking updates help'
negative,'United Whats going on with UA 236  outbound flight last thurs was delayed 4hrs How long will this delay be worst2unitedflightsever'
negative,'united worst2unitedflightsever UA1429 IAD to LAS 219 mechanical problems  switched aircraft delayed 35 hours'
negative,'united crashed trying to check in'
negative,'united on 768 to Logan  boarding gong show due to lax carry on enforcement Bins full of coats  no room for bags U need a better system'
negative,'united Blackmailed me into paying 130 extra or having my return ticket nullified in San Francisco Airport Terrible service from rep scam'
negative,'united disappointed that u didnt honor my 100 credit given to me for ur mistakes Taking my business elsewhere peace out'
negative,'united ua1673 still waiting Supposed to depart 908'
negative,'united ok its now been 7 months waiting to hear from airline I gave them quite a bit more than the 30 days requested Terrible service'
negative,'united does this process ever end Still waiting for the reply since 2 months pathetic customerservice'
negative,'united Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times'
negative,'united how do I get my account number if your website says email is unavailable'
negative,'united I received 1 bag last night I am still missing the other one'
negative,'united simonroesner youll need to upgrade the seats too even in economy plus its like sitting on a concrete bench'
negative,'united 2nd flight also delayed no pilots But they boarded is so we can just sit here scheduling'
negative,'united By the way a simple apology goes a long way even if its a hollow one Its obvious that you dont care about me or my wellbeing'
negative,'united This isnt a one time thing either Its a shocking pattern of repeated neglect and disrespect'
negative,'united Fingers crossed amp'
negative,'united Its an incredibly easy fix but you would rather stay in your comfort zone while I get forced out of mine'
negative,'united ours in July You have ZERO excuses for this You have an outofdate system that causes problems like this'
negative,'united Everyone around us is sitting with their friends and family members They booked their tickets in October and December We bought'
negative,'united it will be because Im moving to AmericanAir because of united talk no service'
negative,'united I asked a legitimate question about systemwide vs localized problems and got back an unreLate Flightd copypaste You can do better'
negative,'united what time Who can I call I need my skis I will go to the airport and get them No more faith in United'
negative,'united but then again maybe the BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused'
negative,'united so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff'
negative,'united Could this email be resent as it doesnt appear to have arrived'
negative,'united 25 United coupon to make up for broken entertainment system on a 9hour flight seriously Ridiculousness learncustomerservice'
negative,'united So they didnt drop my bag overnight amp'
negative,'united I did DM the details but still no response I have to book today'
negative,'united not able to DM you my confirmation number'
negative,'united very unhappy at no response to complaint emailed on 2nd Feb ref8441639 Awful customer service'
negative,'united common keep your paper work ready and dont delay our flights1585and meetings ChooseChicago'
positive,'united thanks just sent '
negative,'united Im so frustrated and nervous because of this'
negative,'united are the ones who make it difficult for me'
negative,'united how does it get Cancelled Flightled 10 hours before take off'
negative,'united This ALWAYS happens with you guys and it makes traveling incredibly stressful and uncomfortable Is that good business to you'
negative,'united Im seeking to go 2 client Bc u cant get me there I need refund I filled out form not confident it works if past is an indication'
negative,'united Luckily I made my flights this time but was so disappointed with the lack of communication '
negative,'united checking to see why flight 3466 atlord got Cancelled Flighted'
negative,'united service so far has been horrid We wanted to end the trip on a high note Guess thats not an option'
negative,'united Booked a flight home over 7 months ago and requested seats together for my fiance and I We got 2 middle seats UNACCEPTABLE The'
negative,'united YOU GUYS ARE HORRIBLE'
negative,'united Why do I have to pay  17 for wifi with an international business ticket  pennypincher'
negative,'united ok To top things off youve lost my luggage Could you get ANY worse UnitedAirlines'
positive,'united kudos for not Cancelled Flightling flights from DFW this morning   United usually first to panic'
negative,'united AND my luggage has been broken youcouldntmakethis up brokenwheel'
negative,'united maybe one day youll be the one quoted on httptcomJkpgVXmPC'
negative,'United flight delayedno one remembered to turn the heat on flight 559 leaving ORDseriously'
positive,'united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly'
negative,'united to speak to a real person to get this resolved politely and efficiently 22'
negative,'united did  bags make it on the flight out of iad second day without clothes is pretty inconvenient Were pretty curious UnitedAirlines'
negative,'united hence why Ive been asking for the customer service phone number so I can speak to a real person to get this sorted out'
negative,'united did our bags leave Washington yet That would be convenient seeing as we left there a day ago UnitedAirlines lostluggage'
negative,'united pls properly train your agents Requested to speak to 1k customer service amp'
